,teams.char,teams.rating
1,Tampa Bay Lightning,1187.697424
2,Boston Bruins,1087.307661
3,Washington Capitals,1081.515574
4,Carolina Hurricanes,1068.554529
5,St. Louis Blues,1065.422611
6,Columbus Blue Jackets,1059.786032
7,Nashville Predators,1052.967933
8,New York Islanders,1051.736039
9,Calgary Flames,1043.683799
10,Pittsburgh Penguins,1037.695297
11,Winnipeg Jets,1033.809291
12,San Jose Sharks,1032.175237
13,Dallas Stars,1021.226855
14,Montreal Canadiens,1020.150828
15,Vegas Golden Knights,1001.405746
16,Toronto Maple Leafs,1000.921209
17,Colorado Avalanche,985.5282912
18,Florida Panthers,980.0676585
19,Arizona Coyotes,979.4490802
20,Chicago Blackhawks,976.4145458
21,Anaheim Ducks,973.9045043
22,Philadelphia Flyers,973.7827521
23,Minnesota Wild,956.7934872
24,Vancouver Canucks,936.8437115
25,Los Angeles Kings,934.0260855
26,Detroit Red Wings,932.6331696
27,Edmonton Oilers,931.0627313
28,New Jersey Devils,926.2275573
29,New York Rangers,903.0766804
30,Ottawa Senators,889.0079908
31,Buffalo Sabres,875.1256885
